iter	Passed	Remaining
0	5	5357
1	13	6627
2	22	7518
3	32	8058
4	42	8514
5	52	8726
6	62	8811
7	71	8833
8	79	8733
9	87	8644
10	94	8498
11	101	8379
12	108	8249
13	115	8138
14	121	7959
15	127	7859
16	145	8428
17	153	8393
18	160	8288
19	167	8189
20	173	8085
21	182	8117
22	189	8050
23	197	8034
24	203	7953
25	209	7860
26	217	7844
27	225	7819
28	232	7786
29	238	7717
30	246	7717
31	253	7664
32	259	7606
33	265	7553
34	271	7499
35	277	7438
36	283	7390
37	289	7336
38	296	7299
39	302	7249
40	308	7213
41	314	7167
42	319	7121
43	326	7087
44	332	7057
45	338	7025
46	345	6997
47	352	6982
48	359	6986
49	365	6953
50	372	6927
51	378	6903
52	384	6866
53	389	6828
54	395	6791
55	401	6759
56	406	6718
57	411	6679
58	416	6635
59	421	6598
60	427	6579
61	434	6574
62	441	6568
63	447	6550
64	454	6535
65	461	6535
66	468	6524
67	474	6505
68	481	6500
69	488	6486
70	494	6476
71	501	6469
72	509	6464
73	516	6462
74	522	6447
75	527	6418
76	534	6409
77	541	6396
78	547	6385
79	554	6372
80	561	6365
81	566	6343
82	573	6331
83	579	6317
84	585	6305
85	592	6295
86	599	6286
87	604	6263
88	610	6249
89	616	6235
90	622	6216
91	628	6199
92	633	6178
93	638	6154
94	644	6141
95	649	6119
96	655	6101
97	660	6082
98	666	6064
99	672	6052
100	678	6039
101	683	6020
102	689	6004
103	694	5985
104	700	5973
105	705	5953
106	711	5934
107	716	5920
108	722	5905
109	727	5889
110	733	5871
111	738	5853
112	743	5838
113	749	5822
114	754	5806
115	760	5793
116	766	5784
117	772	5773
118	778	5765
119	784	5753
120	790	5745
121	796	5732
122	802	5721
123	807	5707
124	812	5685
125	817	5667
126	821	5647
127	825	5626
128	830	5605
129	834	5582
130	838	5562
131	843	5544
132	847	5524
133	852	5510
134	859	5505
135	865	5496
136	870	5481
137	875	5470
138	882	5464
139	888	5457
140	894	5450
141	900	5440
142	907	5438
143	914	5433
144	920	5428
145	927	5424
146	934	5420
147	941	5421
148	947	5414
149	954	5409
150	960	5398
151	965	5386
152	971	5376
153	976	5365
154	982	5356
155	987	5343
156	993	5335
157	999	5328
158	1005	5316
159	1011	5308
160	1016	5299
161	1022	5291
162	1028	5282
163	1034	5272
164	1039	5262
165	1045	5255
166	1051	5244
167	1057	5236
168	1063	5228
169	1070	5224
170	1075	5215
171	1081	5207
172	1087	5199
173	1094	5194
174	1099	5184
175	1105	5173
176	1111	5167
177	1120	5176
178	1128	5174
179	1133	5165
180	1139	5154
181	1144	5144
182	1150	5136
183	1155	5125
184	1161	5116
185	1166	5106
186	1173	5100
187	1179	5093
188	1184	5083
189	1190	5076
190	1196	5066
191	1201	5057
192	1211	5065
193	1216	5053
194	1221	5040
195	1226	5029
196	1230	5016
197	1236	5007
198	1241	4997
199	1247	4989
200	1253	4982
201	1259	4974
202	1264	4964
203	1269	4953
204	1275	4946
205	1282	4941
206	1286	4929
207	1292	4920
208	1297	4912
209	1303	4904
210	1309	4895
211	1315	4891
212	1321	4881
213	1326	4872
214	1331	4861
215	1336	4852
216	1343	4846
217	1348	4836
218	1354	4830
219	1360	4823
220	1365	4813
221	1372	4810
222	1377	4801
223	1383	4793
224	1389	4785
225	1394	4775
226	1400	4767
227	1405	4758
228	1410	4748
229	1415	4737
230	1420	4727
231	1424	4717
232	1430	4710
233	1436	4701
234	1441	4694
235	1447	4684
236	1452	4677
237	1457	4667
238	1463	4658
239	1468	4649
240	1474	4643
241	1480	4637
242	1485	4626
243	1490	4617
244	1495	4610
245	1501	4601
246	1506	4591
247	1512	4584
248	1516	4574
249	1521	4564
250	1526	4553
251	1530	4543
252	1535	4533
253	1539	4522
254	1544	4512
255	1548	4501
256	1553	4491
257	1558	4483
258	1563	4473
259	1568	4462
260	1573	4454
261	1577	4444
262	1582	4433
263	1587	4424
264	1591	4415
265	1596	4405
266	1601	4395
267	1606	4386
268	1611	4378
269	1615	4367
270	1620	4358
271	1625	4349
272	1630	4341
273	1634	4331
274	1639	4322
275	1644	4312
276	1649	4306
277	1655	4298
278	1659	4288
279	1664	4280
280	1669	4272
281	1674	4262
282	1678	4253
283	1683	4245
284	1689	4237
285	1694	4230
286	1699	4221
287	1704	4213
288	1708	4204
289	1713	4196
290	1718	4188
291	1723	4179
292	1728	4171
293	1733	4162
294	1738	4154
295	1742	4144
296	1747	4135
297	1751	4127
298	1756	4117
299	1760	4108
300	1766	4102
301	1770	4093
302	1775	4084
303	1780	4076
304	1785	4068
305	1789	4059
306	1795	4051
307	1799	4043
308	1803	4033
309	1808	4025
310	1813	4017
311	1818	4008
312	1822	4000
313	1827	3991
314	1831	3983
315	1836	3975
316	1841	3967
317	1845	3958
318	1850	3950
319	1854	3941
320	1859	3933
321	1863	3924
322	1869	3917
323	1874	3910
324	1879	3902
325	1884	3895
326	1889	3887
327	1893	3880
328	1898	3872
329	1903	3865
330	1909	3859
331	1914	3851
332	1919	3844
333	1924	3836
334	1928	3828
335	1933	3821
336	1938	3814
337	1943	3806
338	1948	3798
339	1953	3791
340	1958	3784
341	1963	3777
342	1968	3770
343	1973	3762
344	1977	3754
345	1982	3747
346	1986	3739
347	1991	3731
348	1995	3722
349	2000	3714
350	2004	3706
351	2009	3698
352	2013	3690
353	2018	3682
354	2021	3673
355	2025	3664
356	2030	3656
357	2034	3648
358	2038	3639
359	2042	3630
360	2048	3625
361	2053	3618
362	2057	3611
363	2062	3604
364	2067	3597
365	2072	3590
366	2078	3584
367	2082	3577
368	2088	3570
369	2096	3568
370	2101	3563
371	2106	3556
372	2112	3550
373	2116	3543
374	2121	3535
375	2126	3529
376	2131	3522
377	2136	3515
378	2141	3508
379	2146	3501
380	2150	3494
381	2156	3488
382	2161	3481
383	2167	3476
384	2172	3469
385	2176	3462
386	2181	3455
387	2186	3449
388	2192	3443
389	2196	3435
390	2201	3428
391	2206	3422
392	2211	3415
393	2216	3408
394	2221	3402
395	2225	3395
396	2231	3389
397	2236	3382
398	2241	3377
399	2246	3370
400	2251	3363
401	2256	3356
402	2261	3350
403	2266	3343
404	2271	3336
405	2275	3329
406	2281	3324
407	2286	3317
408	2291	3310
409	2295	3303
410	2301	3297
411	2305	3290
412	2310	3284
413	2316	3278
414	2321	3271
415	2325	3265
416	2331	3259
417	2335	3252
418	2340	3245
419	2345	3239
420	2350	3231
421	2355	3225
422	2359	3218
423	2364	3211
424	2369	3205
425	2374	3199
426	2378	3192
427	2383	3185
428	2388	3178
429	2393	3172
430	2397	3165
431	2402	3158
432	2407	3152
433	2411	3145
434	2416	3138
435	2420	3131
436	2425	3124
437	2429	3117
438	2434	3110
439	2439	3104
440	2444	3098
441	2448	3091
442	2453	3085
443	2458	3078
444	2464	3073
445	2469	3067
446	2474	3060
447	2478	3054
448	2483	3047
449	2488	3041
450	2493	3034
451	2497	3028
452	2502	3022
453	2507	3016
454	2512	3009
455	2517	3002
456	2521	2996
457	2526	2990
458	2531	2983
459	2535	2976
460	2540	2970
461	2545	2964
462	2549	2957
463	2554	2950
464	2558	2944
465	2563	2937
466	2568	2931
467	2572	2924
468	2576	2917
469	2580	2910
470	2586	2904
471	2590	2897
472	2594	2890
473	2598	2883
474	2602	2876
475	2607	2870
476	2612	2864
477	2616	2857
478	2620	2850
479	2624	2843
480	2629	2837
481	2633	2830
482	2638	2824
483	2642	2817
484	2646	2810
485	2651	2803
486	2655	2797
487	2661	2792
488	2666	2786
489	2671	2780
490	2675	2773
491	2680	2767
492	2685	2761
493	2689	2754
494	2693	2748
495	2698	2742
496	2703	2736
497	2707	2729
498	2712	2723
499	2716	2716
500	2720	2709
501	2725	2703
502	2730	2697
503	2734	2691
504	2738	2684
505	2743	2678
506	2747	2671
507	2751	2665
508	2756	2658
509	2760	2652
510	2765	2646
511	2769	2639
512	2774	2633
513	2778	2627
514	2782	2620
515	2787	2614
516	2791	2608
517	2796	2601
518	2800	2595
519	2804	2589
520	2809	2582
521	2813	2576
522	2818	2570
523	2823	2564
524	2827	2558
525	2832	2552
526	2836	2546
527	2841	2539
528	2845	2533
529	2850	2527
530	2855	2521
531	2859	2515
532	2863	2509
533	2867	2502
534	2872	2496
535	2876	2490
536	2880	2483
537	2885	2477
538	2889	2471
539	2894	2465
540	2898	2459
541	2903	2453
542	2907	2446
543	2912	2441
544	2916	2434
545	2921	2428
546	2925	2422
547	2929	2416
548	2934	2410
549	2938	2403
550	2942	2397
551	2946	2391
552	2950	2385
553	2954	2378
554	2958	2372
555	2963	2366
556	2967	2359
557	2972	2354
558	2976	2347
559	2980	2341
560	2984	2335
561	2988	2329
562	2993	2323
563	2997	2317
564	3001	2310
565	3005	2304
566	3010	2298
567	3013	2292
568	3018	2286
569	3022	2279
570	3026	2273
571	3030	2267
572	3034	2261
573	3038	2255
574	3042	2249
575	3047	2243
576	3051	2237
577	3057	2232
578	3063	2227
579	3068	2221
580	3073	2216
581	3077	2210
582	3081	2204
583	3085	2198
584	3090	2192
585	3094	2186
586	3098	2180
587	3103	2174
588	3107	2168
589	3111	2162
590	3115	2155
591	3119	2150
592	3123	2143
593	3127	2137
594	3131	2131
595	3136	2125
596	3140	2119
597	3144	2113
598	3148	2107
599	3152	2101
600	3156	2095
601	3160	2089
602	3164	2083
603	3169	2077
604	3173	2072
605	3177	2066
606	3182	2060
607	3186	2054
608	3190	2048
609	3194	2042
610	3198	2036
611	3203	2030
612	3206	2024
613	3210	2018
614	3215	2012
615	3219	2006
616	3223	2000
617	3227	1994
618	3232	1989
619	3236	1983
620	3240	1977
621	3244	1971
622	3249	1966
623	3253	1960
624	3258	1954
625	3262	1949
626	3267	1943
627	3271	1937
628	3275	1932
629	3280	1926
630	3285	1921
631	3289	1915
632	3293	1909
633	3298	1903
634	3302	1898
635	3306	1892
636	3311	1886
637	3315	1881
638	3319	1875
639	3323	1869
640	3327	1863
641	3331	1857
642	3334	1851
643	3339	1845
644	3343	1840
645	3347	1834
646	3351	1828
647	3355	1822
648	3359	1817
649	3363	1811
650	3367	1805
651	3372	1799
652	3376	1794
653	3380	1788
654	3384	1782
655	3388	1776
656	3392	1771
657	3396	1765
658	3400	1759
659	3404	1753
660	3408	1748
661	3412	1742
662	3416	1736
663	3420	1731
664	3425	1725
665	3429	1719
666	3433	1714
667	3437	1708
668	3441	1702
669	3446	1697
670	3450	1691
671	3455	1686
672	3459	1680
673	3463	1675
674	3467	1669
675	3471	1663
676	3475	1658
677	3479	1652
678	3484	1647
679	3488	1641
680	3492	1635
681	3496	1630
682	3500	1624
683	3504	1619
684	3508	1613
685	3513	1608
686	3517	1602
687	3521	1596
688	3525	1591
689	3529	1585
690	3534	1580
691	3538	1574
692	3542	1569
693	3546	1563
694	3550	1558
695	3554	1552
696	3558	1546
697	3562	1541
698	3566	1535
699	3571	1530
700	3575	1524
701	3579	1519
702	3583	1513
703	3587	1508
704	3591	1502
705	3595	1497
706	3599	1491
707	3603	1486
708	3607	1480
709	3611	1475
710	3615	1469
711	3619	1464
712	3624	1458
713	3628	1453
714	3632	1447
715	3636	1442
716	3640	1437
717	3645	1431
718	3649	1426
719	3653	1420
720	3658	1415
721	3662	1410
722	3666	1404
723	3670	1399
724	3674	1393
725	3678	1388
726	3683	1383
727	3687	1377
728	3691	1372
729	3695	1367
730	3699	1361
731	3704	1356
732	3708	1350
733	3712	1345
734	3716	1339
735	3720	1334
736	3724	1329
737	3728	1323
738	3733	1318
739	3737	1313
740	3741	1307
741	3746	1302
742	3750	1297
743	3754	1291
744	3758	1286
745	3762	1281
746	3767	1275
747	3771	1270
748	3775	1265
749	3779	1259
750	3784	1254
751	3788	1249
752	3792	1244
753	3797	1238
754	3801	1233
755	3805	1228
756	3809	1222
757	3814	1217
758	3818	1212
759	3825	1208
760	3830	1203
761	3835	1198
762	3840	1192
763	3844	1187
764	3849	1182
765	3853	1177
766	3858	1171
767	3861	1166
768	3865	1161
769	3870	1155
770	3874	1150
771	3878	1145
772	3882	1140
773	3886	1134
774	3890	1129
775	3894	1124
776	3898	1118
777	3902	1113
778	3907	1108
779	3911	1103
780	3915	1097
781	3919	1092
782	3924	1087
783	3928	1082
784	3932	1076
785	3936	1071
786	3940	1066
787	3944	1061
788	3948	1055
789	3952	1050
790	3957	1045
791	3961	1040
792	3965	1035
793	3969	1029
794	3973	1024
795	3977	1019
796	3981	1014
797	3985	1008
798	3990	1003
799	3994	998
800	3998	993
801	4003	988
802	4007	983
803	4011	977
804	4015	972
805	4020	967
806	4024	962
807	4028	957
808	4033	952
809	4037	947
810	4041	941
811	4045	936
812	4050	931
813	4054	926
814	4058	921
815	4062	916
816	4067	911
817	4071	905
818	4075	900
819	4079	895
820	4083	890
821	4087	885
822	4091	879
823	4095	874
824	4099	869
825	4103	864
826	4107	859
827	4111	854
828	4116	849
829	4120	843
830	4124	838
831	4128	833
832	4132	828
833	4136	823
834	4140	818
835	4144	813
836	4149	808
837	4155	803
838	4160	798
839	4165	793
840	4170	788
841	4175	783
842	4180	778
843	4185	773
844	4190	768
845	4197	764
846	4203	759
847	4208	754
848	4212	749
849	4218	744
850	4223	739
851	4229	734
852	4233	729
853	4237	724
854	4242	719
855	4246	714
856	4250	709
857	4255	704
858	4259	699
859	4263	694
860	4267	689
861	4272	684
862	4276	678
863	4280	673
864	4285	668
865	4289	663
866	4293	658
867	4297	653
868	4302	648
869	4306	643
870	4310	638
871	4315	633
872	4319	628
873	4324	623
874	4328	618
875	4332	613
876	4337	608
877	4341	603
878	4345	598
879	4350	593
880	4354	588
881	4358	583
882	4362	578
883	4366	572
884	4370	567
885	4374	562
886	4379	557
887	4384	553
888	4388	547
889	4392	542
890	4397	537
891	4401	532
892	4405	527
893	4410	522
894	4414	517
895	4418	512
896	4422	507
897	4426	502
898	4431	497
899	4435	492
900	4439	487
901	4443	482
902	4447	477
903	4451	472
904	4455	467
905	4460	462
906	4464	457
907	4468	452
908	4472	447
909	4476	442
910	4480	437
911	4484	432
912	4488	427
913	4493	422
914	4497	417
915	4501	412
916	4505	407
917	4509	402
918	4513	397
919	4518	392
920	4522	387
921	4526	382
922	4530	377
923	4534	372
924	4538	368
925	4543	363
926	4547	358
927	4551	353
928	4555	348
929	4560	343
930	4564	338
931	4568	333
932	4572	328
933	4576	323
934	4580	318
935	4585	313
936	4590	308
937	4594	303
938	4598	298
939	4604	293
940	4608	288
941	4614	284
942	4620	279
943	4624	274
944	4628	269
945	4632	264
946	4636	259
947	4640	254
948	4644	249
949	4649	244
950	4653	239
951	4657	234
952	4661	229
953	4665	224
954	4670	220
955	4674	215
956	4677	210
957	4682	205
958	4685	200
959	4689	195
960	4693	190
961	4697	185
962	4701	180
963	4705	175
964	4709	170
965	4714	165
966	4718	161
967	4722	156
968	4726	151
969	4730	146
970	4734	141
971	4738	136
972	4743	131
973	4747	126
974	4751	121
975	4755	116
976	4759	112
977	4763	107
978	4767	102
979	4771	97
980	4776	92
981	4780	87
982	4784	82
983	4787	77
984	4792	72
985	4797	68
986	4801	63
987	4805	58
988	4809	53
989	4814	48
990	4817	43
991	4822	38
992	4826	34
993	4830	29
994	4834	24
995	4838	19
996	4842	14
997	4846	9
998	4850	4
999	4854	0
